142f1017284d7dfa6540a08d818014e0a5738698072f2773bdbac63e7560dbb6,"{'subject': 'c:/program files/confer/scanner/upd.exe C:/Program Files/Confer/scanner/upd.exe  --install-dir=C:/Program Files/Confer/scanner/Data_0 --internet-srvs=http://updates2.cdc.carbonblack.io/update2 --key-dir=. --master-file=/idx/master.idx --no-config --no-dns-resolve --product-file=/idx/savapi4lib-win32-en.info.gz --quiet --update-modules-list=VDF,AVE2'}",435456
8b71202901e337e2f8a552e6b75dd17b11f00ad9ec3b23937d151a7782cb5bc1,{'file': 'c:/program files/mozilla firefox/firefox.exe'},1284
d73092f98b261fb1b5f655deb8647f702c271fd72869b4a368819a80146a72e2,{'subject': 'c:/windows/system32/svchost.exe C:/Windows/system32/svchost.exe -k RPCSS'},433412
5493247007add0b841dbc5a5dc4d3a3fd597b4daaf4f60de640b275908aa7cbe,{'subject': 'c:/windows/system32/dllhost.exe C:/Windows/system32/DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}'},433413
cc2a8b411e8f8fc2c4bd570f1f409685d0e156c6e253e8a0f620053b54a860df,{'subject': 'c:/users/aalsahee/payload.exe payload.exe'},435207
f7bbf9e36592eae0c8eaf27e900ca649eef27c71aac7989e95ee598666c4b75c,{'subject': 'c:/windows/system32/dllhost.exe C:/Windows/system32/dllhost.exe /Processid:{D2FE8F47-D0BC-443A-B30F-841E8D5063B0}'},434949
6a701f40ae5fc19051433eadd21cf10d142b3267bf1994732776dff18ad55ccb,{'subject': 'c:/program files/confer/scanner/scanhost.exe scanhost.exe'},433674
8850378c1aa0c0e15acda64a611b698e4f46ba3cf176ebf14c40e2f55b73d58a,{'subject': 'c:/windows/system32/svchost.exe C:/Windows/system32/svchost.exe -k DcomLaunch'},433422
52d3a6ab5f8ed2d84d254a5b0f9cb1073192f7ead16fe7e0c2cc8dc6d35922db,{'subject': 'c:/windows/system32/svchost.exe C:/Windows/system32/svchost.exe -k LocalServiceNoNetwork'},434704
207761760a156dc31994ebfe31f4d11aa38b5841d99c442f279e0914d0fed077,{'netflow': '192.168.223.128:8000->10.193.66.115:42697'},439056
8b7efd58b5eab20f0ae69b1f800fa4847d9f47ddb4202f72225b1291e4702950,{'subject': 'c:/windows/explorer.exe C:/Windows/Explorer.EXE'},433426
d14bf11d49c48da7c390661015ae1c196fcc6c690bd870162f111f92abefe861,{'file': 'c:/windows/system32/audiodg.exe'},245523
1ce364c46130e4a931d99aa7b5920ee97fb2c71d4229ddae8a51298832b44739,{'file': 'c:/program files/mozilla firefox/plugin-container.exe'},1300
e6f33f7c523c69a355305af6effe0d55f1e531f1747288a38e0ddfa7b6620b55,{'subject': 'c:/windows/system32/audiodg.exe C:/Windows/system32/AUDIODG.EXE 0x324'},433430
27baa3d87292eca405fbf7a9a346cb66e6f383507e0bf884c06308c71e1fd64f,{'subject': 'c:/windows/system32/svchost.exe C:/Windows/System32/svchost.exe -k LocalServiceNetworkRestricted'},433431
bbb0bc77e654b7cff0faa53d0df36fb50534b9ce12a302cf8ce4817808ff47f2,{'file': 'c:/windows/system32/cmd.exe'},538
