937BA111-3F1B-11E8-A5CB-3FA3753A265A,{'netflow': '128.55.12.73:80->25.159.96.207:58625'},147459
937BE863-3F1B-11E8-A5CB-3FA3753A265A,{'netflow': '128.55.12.73:49722->76.56.184.25:80'},147460
93A2D6AC-3F1B-11E8-A5CB-3FA3753A265A,{'netflow': '128.55.12.73:27115->155.162.39.48:80'},147461
11C65665-3DC3-11E8-A5CA-3FA3753A265A,{'subject': 'None nginx'},356868
E5A15412-68E0-FD54-A068-DD6114FD9040,{'file': '/tmp/pEja72mA'},2609543
042ADADF-3F1C-11E8-A5CB-3FA3753A265A,{'subject': 'None sshd'},370896
4FB0BFEA-3F1C-11E8-A5CB-3FA3753A265A,{'subject': 'None pEja72mA'},370961
0433BCDC-3F1C-11E8-A5CB-3FA3753A265A,{'subject': 'None sshd'},370897
044B097A-3F1C-11E8-A5CB-3FA3753A265A,{'subject': 'None sshd'},370898
04632D66-3F1C-11E8-A5CB-3FA3753A265A,{'subject': 'None sshd'},370899
0488BCD7-3F1C-11E8-A5CB-3FA3753A265A,{'subject': 'None mkdir'},370903
04A9D03C-3F1C-11E8-A5CB-3FA3753A265A,{'subject': 'None wget'},370904
51110606-D232-9652-B2D2-3A7242968F8A,{'file': 'None'},379482
48289024-3E7E-11E8-A5CB-3FA3753A265A,{'subject': 'None XIM'},355357
4FB30E44-3F1C-11E8-A5CB-3FA3753A265A,{'netflow': '128.55.12.73:63341->53.158.101.118:80'},147515
3209A26F-A6EF-0350-AFA6-B1BD1003D390,{'file': 'None'},418674
EC6F1E3C-792F-485D-AF79-1A832D489243,{'file': '/usr/home/user/eraseme'},2609587
00C8E4E5-8BBC-D45B-BC8B-D32BABD4AFCE,{'file': '/usr/home/user/eraseme/index.html'},2609590
2CA83801-3E80-11E8-A5CB-3FA3753A265A,{'subject': 'None sshd'},355640
E0C1A46B-3F1B-11E8-A5CB-3FA3753A265A,{'subject': 'None sshd'},370873
E0CAAC23-3F1B-11E8-A5CB-3FA3753A265A,{'subject': 'None sshd'},370874
E0E17EDD-3F1B-11E8-A5CB-3FA3753A265A,{'subject': 'None sshd'},370875
E0F82A6C-3F1B-11E8-A5CB-3FA3753A265A,{'subject': 'None sshd'},370876
482AD2B6-3E7E-11E8-A5CB-3FA3753A265A,{'netflow': '128.55.12.73:39242->53.158.101.118:80'},141183
