0E6354B8-3DC3-11E8-A5CA-3FA3753A265A	{'netflow': '10.0.6.23:123 10.0.4.1:123'}	106347
1AD39F36-3DC3-11E8-A5CB-3FA3753A265A	{'netflow': '128.55.12.73:143 128.55.12.55:49262'}	106379
80F8135E-3EA6-11E8-A5CB-3FA3753A265A	{'netflow': '128.55.12.73:143 128.55.12.67:61216'}	117292
84A65C3C-3EA6-11E8-A5CB-3FA3753A265A	{'netflow': '128.55.12.73:143 128.55.12.67:61218'}	117298
84FD861A-3EA6-11E8-A5CB-3FA3753A265A	{'netflow': '128.55.12.73:143 128.55.12.67:61219'}	117301
853C764F-3EA6-11E8-A5CB-3FA3753A265A	{'netflow': '128.55.12.73:143 128.55.12.67:61220'}	117304
8FCECD49-3EF9-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120270
B3D82956-3EF9-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120272
D7E03E63-3EF9-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120274
FBF8F9EE-3EF9-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120276
200704E7-3EFA-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120280
441673DA-3EFA-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120282
6820191F-3EFA-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120284
8C2A8A76-3EFA-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120286
B0450FFB-3EFA-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120288
D457DBC6-3EFA-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120291
F8610BB8-3EFA-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120293
1C6C610E-3EFB-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120295
25F63036-3EFB-11E8-A5CB-3FA3753A265A	{'netflow': '128.55.12.73:143 128.55.12.166:35719'}	120297
26015486-3EFB-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120298
2614065E-3EFB-11E8-A5CB-3FA3753A265A	{'netflow': 'localhost:-1 128.55.12.10:53'}	120300
